id;x_0;x_1;x_2;y_0;y_1;y_2;time;f1;f2;f3;f_res;area
83;8;9;0;3;2;0;41;-31.936;-23.61;-29.63;49.55075273;42
84;2;4;6;2;1;2;23;-12.346;-9.7069;-32.547;36.13799708;20
85;8;2;5;3;3;3;30;-25.388;-35.314;-48.885;65.4321967;45
86;0;4;4;0;3;3;36;-13.549;-13.31;-42.238;46.31177113;24
87;1;5;0;2;2;0;40;-8.1524;-6.0978;-17.105;19.90542176;12
88;4;9;8;1;2;3;36;-40.155;-21.695;-82.546;94.32358754;46
89;0;9;6;0;3;3;33;-33.289;-19.599;-71.303;81.09498216;45
90;8;9;3;2;2;3;33;-30.228;-26.644;-47.353;62.17669442;43
91;9;9;4;3;1;1;37;-30.247;-19.428;-26.989;44.9525785;40
92;0;6;0;0;3;0;36;-13.564;-7.814;-24.099;28.73677945;18
93;8;7;8;3;3;2;44;-41.983;-47.935;-91.757;111.7125041;61
94;3;7;9;3;3;3;44;-48.531;-38.968;-90.708;110.0077463;57
95;0;4;4;0;2;2;33;-9.8551;-7.4857;-27.288;29.96320484;16
96;9;9;0;3;3;0;44;-39.75;-33.648;-39.914;65.61537777;54
97;2;5;5;1;1;1;41;-9.1453;-5.7229;-19.628;22.39746594;12
98;1;4;0;3;1;0;40;-3.7603;-4.4738;-10.159;11.7200693;7
99;0;1;0;0;1;0;99;-0.36314;-0.36314;-1.4072;1.497983;1
